ClassId,Name
0,Speed limit (20km/h)
1,Speed limit (30km/h)
2,Speed limit (50km/h)
3,Speed limit (60km/h)
4,Speed limit (70km/h)
5,Speed limit (80km/h)
6,Speed limit (100km/h)
7,Speed limit (120km/h)
8,No passing
9,Right-of-way at the next intersection
10,Priority road
11,Yield
12,Stop
13,No vehiles
14,Vechiles over 3.5 metric tons prohibited
15,No entry
16,General caution
17,Dangerous curve to the left
18,Dangerous curve to the right
19,Double curve
20,Bumpy road
21,Slippery road
22,Road narrows
23,Road work
24,Pedestrians
25,Children crossing
26,Bicycles crossing
27,Beware of ice/snow
28,Wild animals crossing
29,End of all speed and passing limits
30,Turn right ahead
31,Turn left ahead
32,Ahead only
33,Go straight or right
34,Go straight or left
35,Keep right
36,Keep left
37,Roundabout mandatory
